educations-end_date,educations-field_of_study,educations-school-name,positions-is-current,num-connections,industry-specialization
31/12/2009,16,(CNCTC) COMPUTER NETWORKING CAREER AND TRAINING CENTER,0,23,4
31/12/1996,4,ADAMSON UNIVERSITY,0,10,15
31/12/2002,16,MINDANAO STATE UNIVERSITY,0,1,4
31/12/2011,5,MINDANAO UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,15,5
31/12/2011,8,JOJI ILAGAN CAREER CENTRE FOUNDATION INC.,0,0,13
31/12/2008,16,ATENEO GRADUATE SCHOOL OF BUSINESS,0,68,0
31/12/1986,9,TECHNOLOGICAL UNIVERSITY OF THE PHILIPPINES-VISAYAS REGION VI,0,5,6
31/12/2008,4,STI E-COLLEGE SOUTHWOODS,0,51,16
31/12/1996,16,MERALCO FOUNDATION INSTITUTE,0,5,16
31/12/1998,12,UNIVERSITY OF THE PHILIPPINES,0,188,12
31/12/2008,0,UNIVERSITY OF MANILA,0,0,4
31/12/2005,2,UNIVERSITY OF THE PHILIPPINES (DILIMAN),0,80,2
31/12/2001,10,UNIVERSITY OF ASIA AND THE PACIFIC,0,24,10
31/12/2001,16,UNIVERSITY OF THE PHILIPPINES,0,90,4
31/12/1981,6,UNIVERSITY OF SANTO TOMAS,1,0,1
31/12/2002,16,TECHNOLOGICAL UNIVERSITY OF THE PHILIPPINES,0,144,16
31/12/2011,2,UNIVERSITY OF NEW SOUTH WALES,0,31,10
31/12/2001,0,NOTRE DAME UNIVERSITY,1,6,16
31/12/2009,16,DE LA SALLE LIPA,0,3,16
31/12/2002,1,DE LA SALLE UNIVERSITY - COLLEGE OF SAINT BENILDE,0,56,4
31/12/2010,16,UNIVERSITY OF THE PHILIPPINES,0,9,5
31/12/1997,16,ITC,1,3,4
31/12/2012,4,ASIAN COLLEGE OF TECHNOLOGY,1,3,4
31/12/1986,6,NATIONAL UNIVERSITY (PH),1,8,16
31/12/2013,4,UNIVERSITY OF THE PHILIPPINES,0,3,4
31/12/2000,16,DE LA SALLE UNIVERSITY,0,123,16
31/12/2001,6,BATANGAS STATE UNIVERSITY,0,67,16
31/12/2002,4,ATENEO DE ZAMBOANGA UNIVERSITY,0,39,4
31/12/2012,4,POLYTECHNIC UNIVERSITY OF THE PHILIPPINES - TAGUIG CAMPUS,0,14,4
31/12/2003,14,SAN SEBASTIAN INSTITUTE OF LAW,0,5,14
31/12/2009,16,SAN BEDA COLLEGE,0,18,14
31/12/2008,14,UNIVERSITY OF SANTO TOMAS,0,132,14
31/12/2006,4,PAMANTASAN NG LUNGSOD NG MAYNILA,1,20,4
31/12/1992,16,UNIVERSITY OF CEBU,1,1,16
31/12/2006,16,CEBU NORMAL UNIVERSITY,1,7,5
31/12/2011,16,UNIVERSITY OF THE PHILIPPINES-DILIMAN,0,90,1
31/12/2004,16,GARCIA COLLEGE OF TECHNOLOGY,1,1,4
31/12/1991,0,MIRIAM COLLEGE,1,4,16
31/12/2011,16,DE LA SALLE - COLLEGE OF SAINT BENILDE,1,0,16
31/12/2009,16,MISAMIS UNIVERSITY,0,12,5
31/12/2012,2,MAPUA INSTITUTE OF TECHNOLOGY,0,9,16
31/12/2000,2,FAR EASTERN UNIVERSITY,0,53,16
31/12/1997,6,UNIVERSITY OF SAN CARLOS,0,76,9
31/12/2007,4,CARAGA STATE UNIVERSITY FORMERLY(NORMISIST),0,447,4
31/12/2007,16,MSU-ILIGAN INSTITUTE OF TECHNOLOGY,0,12,16
31/12/2011,4,XAVIER UNIVERSITY (PH),0,2,4
31/12/1992,5,PHILIPPINE NORMAL UNIVERSITY,1,9,16
31/12/1990,0,UNIVERSITY OF PANGASINAN,0,0,0
31/12/2011,16,UNIVERSITY OF THE PHILIPPINES,0,82,10
31/12/1998,6,UNIVERSITY OF THE PHILIPPINES,0,43,4
31/12/1998,4,ELEMENTARY SCHOOL,0,9,4
31/12/2008,16,ABELLANA NATIONAL SCHOOL (VOCATIONAL),0,0,4
31/12/2008,16,PALAWAN STATE UNIVERSITY,1,11,4
31/12/2006,4,HOLY NAME UNIVERSITY,0,1,16
31/12/2000,4,CEBU INSTITUTE OF TECHNOLOGY,0,68,4
31/12/2009,16,REMEDIOS TRINIDAD ROMUALDEZ MEDICAL FOUNDATION,0,27,10
31/12/2003,6,CEBU INSTITUTE OF TECHNOLOGY,0,0,9
31/12/2002,6,UNIVERSITY OF SAN CARLOS,0,4,6
31/12/2004,4,DE LA SALLE- COLLEGE OF SAINT BENILDE,0,165,4
31/12/2005,6,UNIVERSITY OF SAN CARLOS,1,0,16
31/12/2011,16,UNIVERSITY OF THE PHILIPPINES,0,4,11
31/12/1982,16,UNIVERSITY OF SAINT LA SALLE,1,1,16
31/12/1979,0,UNIVERSITY OF THE PHILIPPINES,0,1,0
31/12/2009,4,ASIAN COLLEGE OF TECHNOLOGY,0,27,4
31/12/1997,16,ATENEO DE MANILA UNIVERSITY,0,93,0
31/12/2011,16,BOHOL ISLAND UNIVERSITY,1,2,9
31/12/2003,16,PHILIPPINE WOMEN'S UNIVERSITY,1,48,6
31/12/2008,6,MINDANAO STATE UNIVERSITY - ILIGAN INSTITUTE OF TECHNOLOGY,1,10,5
31/12/2008,4,DE LA SALLE JOHN BOSCO COLLEGE,1,0,16
31/12/2007,1,UNIVERSITY OF SAN CARLOS,1,1,16
31/12/2001,2,MIRIAM COLLEGE,0,134,7
31/12/2000,16,SAMAR STATE UNIVERSITY,1,0,10
31/12/1999,16,PAMANTASAN NG LUNGSOD NG MAKATI,0,0,16
31/12/2001,16,UNIVERSITY OF MAKATI/UNIVERSITY OF ST LASALLE-BACOLOD,0,18,16
31/12/1999,16,CENTRO ESCOLAR UNIVERSITY,1,7,0
31/12/2008,16,UNIVERSITY OF CEBU,0,12,7
31/12/2001,12,UNIVERSITY OF THE PHILIPPINES,0,135,14
31/12/2001,16,DE LA SALLE UNIVERSITY,1,0,4
31/12/2012,1,UNIVERSITY OF NUEVA CACERES,0,44,10
31/12/2009,16,DE LA SALLE UNIVERSITY,0,500+,16
31/12/2012,16,DE LA SALLE LIPA,1,6,4
31/12/1992,0,UNIVERSITY OF SAN JOSE - RECOLETOS,1,1,0
31/12/1978,6,UNIVERSITY OF SANTO TOMAS,0,2,16
31/12/2003,2,FAR EASTERN UNIVERSITY,1,1,13
31/12/2009,2,BOURNEMOUTH UNIVERSITY,0,160,13
31/12/2008,16,CEBU STATE COLLEGE OF SCIENCE & TECHNOLOGY (SCI-TECH MAIN),0,5,3
31/12/2012,16,UNIVERSITY OF THE PHILIPPINES DILIMAN,0,56,16
31/12/2010,16,DR. CARLOS LANTING COLLEGE,0,0,7
31/12/1998,4,ADAMSON UNIVERSITY,1,4,16
31/12/2000,7,"UNIVERSITY OF THE PHILIPPINES, SCHOOL OF HEALTH AND SCIENCES, PALO, LEYTE PHILS.",1,12,16
31/12/2005,6,ATENEO DE DAVAO UNIVERSITY,1,1,9
31/12/2010,16,PAMANTASAN NG LUNGSOD NG MARIKINA,0,0,14
31/12/2005,4,UNIVERSITY OF CEBU IN LAPULAPU AND MANDAUE,0,115,4
31/12/2001,6,CAGAYAN DE ORO COLLEGE PHINMA EDUCATION NETWORK,0,82,4
31/12/2000,5,UNIVERSITY OF THE PHILIPPINES,0,40,4
31/12/2004,14,UNIVERSITY OF SOUTHERN PHILIPPINES,0,77,16
